school,conference,year,total_wins,total_losses,conf_wins,conf_losses
Hamline University,Minnesota,2024,3,7,1,7
Lock Haven University,Pennsylvania State Athletic,2024,5,6,4,6
UC Davis,Big Sky,2024,11,3,7,1
Fresno State,Mountain West,2024,6,7,4,3
Utah State,Mountain West,2024,4,8,3,4
Coast Guard,NEWMAC,2024,5,5,3,4
Millsaps,Southern Athletic,2024,4,5,3,4
Tulsa,American Athletic,2024,3,9,1,7
Iowa,Big Ten,2024,8,5,6,3
Southeast Missouri State,Big South-OVC,2024,9,4,6,2
UConn,FBS Independents,2024,9,4,1,0
South Florida,American Athletic,2024,7,6,4,4
Lawrence University,Midwest,2024,1,9,1,8
Indianapolis,Great Lakes,2024,10,2,8,0
Delaware,CAA,2024,9,2,7,2
Concordia Moorhead,Minnesota,2024,7,3,6,2
Florida A&M,SWAC,2024,7,5,5,3
Carleton,Minnesota,2024,5,5,4,4
Alabama A&M,SWAC,2024,6,6,4,4
Greenville,Upper Midwest,2024,7,3,5,2
Harvard,Ivy,2024,8,2,5,2
Pittsburg St,Mid America,2024,8,3,7,2
West Texas A&M,Lone Star,2024,5,6,5,4
Lycoming,Landmark Conference,2024,4,6,2,4
St. Olaf,Minnesota,2024,7,3,5,3
Allegheny,Presidents',2024,1,9,1,9
St. Thomas (MN),Pioneer,2024,6,6,5,3
Auburn,SEC,2024,5,7,2,6
SUNY Morrisville,Empire 8,2024,6,4,5,2
Minnesota Duluth,Northern Sun,2024,7,4,6,4
Oklahoma Baptist,Great American,2024,2,9,2,9
Crown College,Upper Midwest,2024,1,9,1,6
Minot State,Northern Sun,2024,5,6,4,6
Weber State,Big Sky,2024,4,8,3,5
App State,Sun Belt,2024,5,6,3,5
Randolph-Macon,Old Dominion,2024,10,2,7,0
Shenandoah,Old Dominion,2024,8,2,5,2
ERSKINE,Gulf South,2024,1,8,0,6
University of Mary,Northern Sun,2024,2,9,1,9
West Liberty,Mountain East,2024,2,9,2,7
Charlotte,American Athletic,2024,5,7,4,4
Emporia State University,Mid America,2024,7,4,5,4
North Greenville,Gulf South,2024,5,5,4,3
Missouri,SEC,2024,10,3,5,3
West Virginia,Big 12,2024,6,7,5,4
Muskingum University,Ohio,2024,5,5,4,5
Colorado School Of Mines,Rocky Mountain,2024,8,3,6,3
Trine University,Michigan,2024,6,4,4,3
Baylor,Big 12,2024,8,5,6,3
Central Arkansas,UAC,2024,6,6,3,5
Ithaca College,Liberty League,2024,6,4,5,1
Ohio State,Big Ten,2024,14,2,7,2
Thiel,Presidents',2024,3,7,3,7
Washington,Big Ten,2024,6,7,4,5
Calvin University,Michigan,2024,2,8,0,7
Southwestern University,Southern Athletic,2024,4,6,2,5
Michigan State,Big Ten,2024,5,7,3,6
Central Washington,Lone Star,2024,8,4,7,2
Merrimack,FCS Independents,2024,5,6,0,1
Bowling Green,Mid-American,2024,7,6,6,2
Mississippi College,Gulf South,2024,2,8,1,7
UNLV,Mountain West,2024,11,3,6,2
Endicott College,Commonwealth Coast,2024,10,2,5,0
TCU,Big 12,2024,9,4,6,3
Oregon,Big Ten,2024,13,1,10,0
LSU,SEC,2024,9,4,5,3
McDaniel College,Centennial,2024,1,9,0,6
South Dakota Mines,Rocky Mountain,2024,6,5,5,4
William Jewell,Great Lakes,2024,5,6,3,5
Northwood (MI),Great Midwest Athletic,2024,6,5,4,5
Pomona Pitzer,So. Cal.,2024,8,3,7,1
Ouachita Baptist,Great American,2024,10,2,10,1
Livingstone,CIAA,2024,6,4,4,3
Texas,SEC,2024,13,3,7,2
Indiana,Big Ten,2024,11,2,8,1
Loras College,American Rivers,2024,2,8,2,6
Grambling,SWAC,2024,5,7,3,6
Minnesota Morris,Upper Midwest,2024,5,5,4,3
Saint John's (MN),Minnesota,2024,11,1,8,0
Carson-Newman College,South Atlantic,2024,9,3,7,2
Whitworth,Northwest,2024,10,2,6,1
Bowdoin,NESCAC,2024,3,6,3,6
Waynesburg,Presidents',2024,4,6,4,6
UT Permian Basin,Lone Star,2024,7,4,6,3
Benedictine University,NACC,2024,5,5,3,5
UCLA,Big Ten,2024,5,7,3,6
Ohio,Mid-American,2024,11,3,8,1
Willamette,Northwest,2024,2,8,0,8
Anderson (IN),Heartland,2024,2,8,1,5
Juniata College,Landmark Conference,2024,2,8,1,5
Kansas State,Big 12,2024,9,4,5,4
Dubuque,American Rivers,2024,5,5,5,3
Anderson (Sc),South Atlantic,2024,3,8,1,8
Howard Payne,American Southwest,2024,1,8,0,6
Northern State,Northern Sun,2024,6,5,6,4
Williams,NESCAC,2024,5,4,5,4
Concordia-Wisconsin,NACC,2024,6,3,5,3
Western Michigan,Mid-American,2024,6,7,5,3
Southern Utah,UAC,2024,7,5,6,2
Lebanon Valley,Mid Atlantic,2024,5,5,5,4
UNC Pembroke,Mountain East,2024,6,5,6,3
Maine Maritime,Independent DIII,2024,0,3,0,1
Montana,Big Sky,2024,9,5,5,3
Thomas More College,Great Midwest Athletic,2024,5,6,4,5
Jackson State,SWAC,2024,12,2,10,1
Millikin,CCIW,2024,0,10,0,9
Missouri Western,Mid America,2024,4,7,2,7
Colby College,NESCAC,2024,4,5,4,5
Montclair State,New Jersey,2024,3,7,1,5
Pacific (OR),Northwest,2024,5,5,4,4
