school,conference,year,sp_overall,sp_offense,sp_defense
South Alabama,Sun Belt,2025,-12.7,25.4,36.0
Syracuse,ACC,2025,-13.1,18.8,33.0
Nevada,Mountain West,2025,-13.4,14.2,28.7
Akron,Mid-American,2025,-13.9,17.2,29.3
San José State,Mountain West,2025,-14.3,21.6,34.4
Eastern Michigan,Mid-American,2025,-14.7,19.4,34.1
Rice,American Athletic,2025,-14.8,17.7,33.9
Coastal Carolina,Sun Belt,2025,-15.1,23.4,37.0
Oklahoma State,Big 12,2025,-15.1,15.2,31.6
New Mexico State,Conference USA,2025,-15.5,19.7,34.9
Colorado State,Mountain West,2025,-15.6,17.6,32.9
UAB,American Athletic,2025,-15.8,25.5,39.8
Oregon State,Pac-12,2025,-15.9,17.0,30.8
Middle Tennessee,Conference USA,2025,-16.0,20.4,37.0
Northern Illinois,Mid-American,2025,-16.7,12.0,28.1
UTEP,Conference USA,2025,-17.5,20.2,36.3
Kent State,Mid-American,2025,-19.3,17.0,34.9
UL Monroe,Sun Belt,2025,-21.6,16.1,35.7
Ball State,Mid-American,2025,-23.0,13.4,34.4
Georgia State,Sun Belt,2025,-24.5,18.6,41.1
Charlotte,American Athletic,2025,-26.7,14.5,39.8
Sam Houston,Conference USA,2025,-27.8,15.3,41.8
Massachusetts,Mid-American,2025,-36.6,7.8,42.8
nationalAverages,,2025,0.6970588235294117,27.158088235294116,26.459558823529413
