player_name,position,school,conference,custom_nil_value,nil_tier,valuation_confidence,performance_value,market_value,potential_value,passing_yards,passing_tds,rushing_yards,rushing_tds,receiving_yards,receiving_tds,tackles,sacks,interceptions,recruiting_stars,national_rank
Zion Steptoe,WR,Tulsa,American Athletic,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,65.0,0.0,272.0,0.0,0.0,0.0,0.0,3,756.0
Justin Lynch,WR,Northern Illinois,Mid-American,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3,1491.0
Keona Davis,DL,Nebraska,Big Ten,70000,moderate,low,35000.0,59500.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1.5,0.0,3,610.0
Hassan Mahasin,WR,Georgetown,Patriot,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,3.0,0.0,295.0,2.0,0.0,0.0,0.0,3,756.0
Dakota Thomas,WR,Nevada,Mountain West,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,268.0,1.0,0.0,0.0,0.0,3,1167.0
Kenari Wilcher,WR,Florida A&M,SWAC,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,4.0,0.0,552.0,4.0,0.0,0.0,0.0,3,717.0
Elisha Durham,WR,Ball State,Mid-American,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,3,1759.0
Sean Brown,WR,Charlotte,American Athletic,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,508.0,1.0,3.0,0.0,0.0,3,980.0
Braylon Isom,WR,Miami (OH),Mid-American,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,141.0,3.0,0.0,0.0,0.0,3,1365.0
Jayson Raines,WR,Northern Arizona,Big Sky,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,6.0,0.0,399.0,2.0,0.0,0.0,0.0,3,1344.0
Jayshon Platt,WR,Florida Atlantic,American Athletic,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,36.0,1.0,720.0,5.0,0.0,0.0,0.0,3,962.0
Ja'Koby Banks,WR,Prairie View A&M,SWAC,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,7.0,0.0,64.0,1.0,1.0,0.0,0.0,3,823.0
Jaylen Sargent,WR,Wyoming,Mountain West,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,3,2441.0
Jaylon Hawkins,WR,San Diego State,Mountain West,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,13.0,0.0,70.0,0.0,0.0,0.0,0.0,3,1850.0
Winn Sharp,WR,Bowling Green,Mid-American,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,46.0,0.0,1.0,0.0,0.0,3,2301.0
Derrick Bohler,WR,Stephen F. Austin,Southland,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,-8.0,0.0,277.0,5.0,0.0,0.0,0.0,3,1121.0
Mudia Reuben,WR,South Florida,American Athletic,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,495.0,5.0,1.0,0.0,0.0,3,600.0
Josh Williams,WR,Chattanooga,Southern,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,-1.0,0.0,585.0,4.0,0.0,0.0,0.0,3,618.0
Nate Anderson,WR,Bucknell,Patriot,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,272.0,3.0,1.0,0.0,0.0,3,1834.0
Nasir Williams,WR,Central Michigan,Mid-American,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,76.0,1.0,0.0,0.0,0.0,3,2359.0
Joshua Jackson,WR,McNeese,Southland,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,258.0,0.0,0.0,0.0,0.0,3,680.0
Kyan Mason,WR,Akron,Mid-American,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,-1.0,0.0,481.0,5.0,0.0,0.0,0.0,3,1691.0
Jamari Person,WR,Liberty,Conference USA,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,315.0,0.0,0.0,0.0,0.0,3,1731.0
Jamarius Dinkins,DL,Purdue,Big Ten,70000,moderate,low,35000.0,59500.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3,683.0
Jamarion McDougle,WR,Ball State,Mid-American,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,11.0,0.0,43.0,0.0,0.0,0.0,0.0,3,1838.0
Tennel Bryant,WR,South Dakota,MVFC,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,125.0,1.0,193.0,0.0,0.0,0.0,0.0,3,1396.0
Justin Franklin,WR,East Tennessee State,Southern,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3,969.0
Justin Cryer,LB,Florida State,ACC,70000,moderate,low,37500.0,60000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,1.0,0.0,3,1012.0
Eric Smith,WR,Liberty,Conference USA,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1336.0
Josh Smith,WR,Tulsa,American Athletic,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,201.0,1.0,1.0,0.0,0.0,3,863.0
Tashi Braceful,WR,Toledo,Mid-American,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,3,874.0
Patrick Clacks III,WR,Buffalo,Mid-American,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,71.0,2.0,0.0,0.0,0.0,3,1434.0
Nare Means,WR,Hampton,CAA,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,9.0,0.0,73.0,0.0,0.0,0.0,0.0,3,2222.0
Nana Boadi-Owusu,DE,Texas A&M,SEC,70000,moderate,low,35000.0,70000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0,9999.0
Najee Story,DL,Northwestern,Big Ten,70000,moderate,low,35000.0,59500.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,1.0,3,430.0
Eric O'Neill,DL,Rutgers,Big Ten,70000,moderate,low,35000.0,59500.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,2.5,0.0,3,2315.0
Josh Crabtree,WR,North Carolina Central,MEAC,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3,1448.0
Wyatt Young,WR,North Texas,American Athletic,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,16.0,1.0,1264.0,10.0,3.0,0.0,0.0,3,1767.0
Eric Weatherly,WR,Ball State,Mid-American,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,117.0,0.0,238.0,1.0,1.0,0.0,0.0,3,1083.0
Elinneus Davis,DL,Washington,Big Ten,70000,moderate,low,35000.0,59500.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.5,0.0,3,936.0
Elijah Washington-Baker,TE,Syracuse,ACC,70000,moderate,low,50000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,3,874.0
Pat Farrell,DL,Illinois,Big Ten,70000,moderate,low,35000.0,59500.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.5,0.0,3,1238.0
Malik Leverett,WR,East Carolina,American Athletic,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,0.0,3,877.0
Trey Smith,DE,Purdue,Big Ten,70000,moderate,low,35000.0,59500.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,3,944.0
Malik Cooper,WR,Wagner,NEC,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,80.0,0.0,168.0,1.0,0.0,0.0,0.0,3,1767.0
Jabari Smith,WR,Florida Atlantic,American Athletic,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,166.0,3.0,0.0,0.0,0.0,3,1867.0
